input_name,gbif_matchType,gbif_confidence,gbif_matched_scientificName,gbif_matched_canonicalName,gbif_matched_usageKey,gbif_accepted_usageKey,gbif_accepted_taxonomicStatus,gbif_accepted_hops,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_synonyms,gbif_synonym_count,gbif_synonyms_same_species,gbif_synonyms_same_species_count,gbif_synonyms_same_genus,gbif_synonyms_same_genus_count,gbif_english_name,gbif_english_names,gbif_english_name_count,wfo_input_used,wfo_query_used,wfo_match_wfo_id,wfo_match_full_name,wfo_accepted_name,wfo_synonyms,wfo_synonym_count,wfo_debug,synonyms_in_gbif_not_in_wfo,synonyms_in_wfo_not_in_gbif
Alpinia zerumbet (Pers.) B. L. Burtt et Rosemary M. Sm.,EXACT,100,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Alpinia zerumbet,5301979,5301979,ACCEPTED,0,Alpinia zerumbet,Alpinia zerumbet,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm. | Alpinia cristata Griff. | Alpinia fimbriata Gagnep. | Alpinia fluvitialis Hayata | Alpinia nutans var. longiramosa Gagnep. | Alpinia penicillata Roscoe | Alpinia schumanniana Valeton | Alpinia speciosa (J.C.Wendl.) K.Schum. | Alpinia speciosa subsp. longiramosa Gagnep. | Alpinia speciosa var. longiramosa Gagnep. | Amomum nutans (Andrews) Schult. | Catimbium speciosum (J.C.Wendl.) Holttum | Costus zerumbet Pers. | Languas schumanniana (Valeton) Sasaki | Languas speciosa (J.C.Wendl.) Merr. | Languas speciosa (J.C.Wendl.) Small | Renealmia nutans Andrews | Renealmia spectabilis Rusby | Zerumbet speciosum J.C.Wendl.,19,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm. | Costus zerumbet Pers.,2,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm. | Alpinia cristata Griff. | Alpinia fimbriata Gagnep. | Alpinia fluvitialis Hayata | Alpinia nutans var. longiramosa Gagnep. | Alpinia penicillata Roscoe | Alpinia schumanniana Valeton | Alpinia speciosa (J.C.Wendl.) K.Schum. | Alpinia speciosa subsp. longiramosa Gagnep. | Alpinia speciosa var. longiramosa Gagnep.,10,Shellplant,Kopi ‘enua | Sakai viro lambo | Shell Ginger | Shellplant | Tsingizo masera | kaopui | light galangal | pink porcelain-lily,8,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Alpinia zerumbet,wfo-0000338850,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Alpinia fimbriata Gagnep. | Alpinia fluvitialis Hayata | Alpinia schumanniana Valeton | Alpinia speciosa (J.C.Wendl.) K.Schum. | Alpinia nutans var. longiramosa Gagnep. | Amomum nutans (Andrews) Schult. | Catimbium nutans (Andrews) T.Lestib. | Catimbium speciosum (J.C.Wendl.) Holttum | Costus zerumbet Pers. | Languas schumanniana (Valeton) Sasaki | Languas speciosa (J.C.Wendl.) Small | Renealmia nutans Andrews | Renealmia spectabilis Rusby | Zerumbet speciosum J.C.Wendl. | Alpinia speciosa var. longiramosa Gagnep.,15,"{""mode"": ""rest+variants"", ""chosen_query"": ""Alpinia zerumbet"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000338850"", ""full_name_plain"": ""Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm."", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 15}}",Alpinia cristata Griff. | Alpinia penicillata Roscoe | Languas speciosa (J.C.Wendl.) Merr. | Alpinia speciosa subsp. longiramosa Gagnep. | Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Catimbium nutans (Andrews) T.Lestib.
Alpinia zerumbet (Pers.) B. L. Burtt et Rosemary M. Sm. 'Variegata',EXACT,94,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Alpinia zerumbet,5301979,5301979,ACCEPTED,0,Alpinia zerumbet,Alpinia zerumbet,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm. | Alpinia cristata Griff. | Alpinia fimbriata Gagnep. | Alpinia fluvitialis Hayata | Alpinia nutans var. longiramosa Gagnep. | Alpinia penicillata Roscoe | Alpinia schumanniana Valeton | Alpinia speciosa (J.C.Wendl.) K.Schum. | Alpinia speciosa subsp. longiramosa Gagnep. | Alpinia speciosa var. longiramosa Gagnep. | Amomum nutans (Andrews) Schult. | Catimbium speciosum (J.C.Wendl.) Holttum | Costus zerumbet Pers. | Languas schumanniana (Valeton) Sasaki | Languas speciosa (J.C.Wendl.) Merr. | Languas speciosa (J.C.Wendl.) Small | Renealmia nutans Andrews | Renealmia spectabilis Rusby | Zerumbet speciosum J.C.Wendl.,19,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm. | Costus zerumbet Pers.,2,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm. | Alpinia cristata Griff. | Alpinia fimbriata Gagnep. | Alpinia fluvitialis Hayata | Alpinia nutans var. longiramosa Gagnep. | Alpinia penicillata Roscoe | Alpinia schumanniana Valeton | Alpinia speciosa (J.C.Wendl.) K.Schum. | Alpinia speciosa subsp. longiramosa Gagnep. | Alpinia speciosa var. longiramosa Gagnep.,10,Shellplant,Kopi ‘enua | Sakai viro lambo | Shell Ginger | Shellplant | Tsingizo masera | kaopui | light galangal | pink porcelain-lily,8,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Alpinia zerumbet,wfo-0000338850,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Alpinia fimbriata Gagnep. | Alpinia fluvitialis Hayata | Alpinia schumanniana Valeton | Alpinia speciosa (J.C.Wendl.) K.Schum. | Alpinia nutans var. longiramosa Gagnep. | Amomum nutans (Andrews) Schult. | Catimbium nutans (Andrews) T.Lestib. | Catimbium speciosum (J.C.Wendl.) Holttum | Costus zerumbet Pers. | Languas schumanniana (Valeton) Sasaki | Languas speciosa (J.C.Wendl.) Small | Renealmia nutans Andrews | Renealmia spectabilis Rusby | Zerumbet speciosum J.C.Wendl. | Alpinia speciosa var. longiramosa Gagnep.,15,"{""mode"": ""rest+variants"", ""chosen_query"": ""Alpinia zerumbet"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000338850"", ""full_name_plain"": ""Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm."", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 15}}",Alpinia cristata Griff. | Alpinia penicillata Roscoe | Languas speciosa (J.C.Wendl.) Merr. | Alpinia speciosa subsp. longiramosa Gagnep. | Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Catimbium nutans (Andrews) T.Lestib.
Ananas comosus (L.) Merr.,EXACT,100,Ananas comosus (L.) Merr.,Ananas comosus,5288819,5288819,ACCEPTED,0,Ananas comosus,Ananas comosus,Ananas comosus (L.) Merr.,Ananas comosus (L.) Merr. | Ananas acostae C.Commelijn | Ananas bracteatus Baker | Ananas bracteatus subsp. hondurensis Bertoni | Ananas bracteatus subsp. paraguayensis Bertoni | Ananas bracteatus var. paraguayensis Bertoni | Ananas coccineus Descourt. | Ananas comosus subsp. variegatus (Lowe) Moldenke | Ananas glaber Mill. | Ananas monstrosus Baker | Ananas mordilona (Linden) E.Morren | Ananas mordilona (Linden) VanGeert | Ananas ovatus Mill. | Ananas proliferus Baker | Ananas pyramidalis Mill. | Ananas sativa Lindl. | Ananas sativus subsp. hispanorum Bertoni | Ananas sativus subsp. muricatus Mez | Ananas sativus subsp. pyramidalis Bertoni | Ananas sativus subsp. variegatus Lowe | Ananas sativus subsp. viridis (Mill.) Bertoni | Ananas serotinus Mill. | Ananas viridis Mill. | Ananassa mordilona Linden | Bromelia ananas Willd. | Bromelia ananas subsp. prolifera F.Cuvier | Bromelia ananas var. king-pineapple Aiton | Bromelia communis Lam. | Bromelia comosa L. | Bromelia rubra Schult. & Schult.f.,30,Ananas comosus (L.) Merr. | Ananas comosus subsp. variegatus (Lowe) Moldenke,2,Ananas comosus (L.) Merr. | Ananas acostae C.Commelijn | Ananas bracteatus Baker | Ananas bracteatus subsp. hondurensis Bertoni | Ananas bracteatus subsp. paraguayensis Bertoni | Ananas bracteatus var. paraguayensis Bertoni | Ananas coccineus Descourt. | Ananas comosus subsp. variegatus (Lowe) Moldenke | Ananas glaber Mill. | Ananas monstrosus Baker | Ananas mordilona (Linden) E.Morren | Ananas mordilona (Linden) VanGeert | Ananas ovatus Mill. | Ananas proliferus Baker | Ananas pyramidalis Mill. | Ananas sativa Lindl. | Ananas sativus subsp. hispanorum Bertoni | Ananas sativus subsp. muricatus Mez | Ananas sativus subsp. pyramidalis Bertoni | Ananas sativus subsp. variegatus Lowe | Ananas sativus subsp. viridis (Mill.) Bertoni | Ananas serotinus Mill. | Ananas viridis Mill.,23,Pineapple,"Ijibo | Mnananasi bole, Mnananasi mba | Pineapple",3,Ananas comosus (L.) Merr.,Ananas comosus,wfo-0000339432,Ananas comosus (L.) Merr.,Ananas comosus (L.) Merr.,Ananas bracteatus Baker | Ananas coccineus Descourt. | Ananas sativus var. variegatus Lowe | Ananassa sativa Lindl. | Bromelia comosa L. | Bromelia rubra hort. ex Schult.f. | Ananas sativa Lindl. | Ananas acostae C.Commelijn,8,"{""mode"": ""rest+variants"", ""chosen_query"": ""Ananas comosus"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000339432"", ""full_name_plain"": ""Ananas comosus (L.) Merr."", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 8}}",Ananas glaber Mill. | Ananas ovatus Mill. | Ananas viridis Mill. | Ananas serotinus Mill. | Bromelia ananas Willd. | Bromelia communis Lam. | Ananas monstrosus Baker | Ananas proliferus Baker | Ananas pyramidalis Mill. | Ananas comosus (L.) Merr. | Ananassa mordilona Linden | Ananas mordilona (Linden) E.Morren | Ananas mordilona (Linden) VanGeert | Bromelia rubra Schult. & Schult.f. | Ananas sativus subsp. muricatus Mez | Ananas sativus subsp. variegatus Lowe | Ananas sativus subsp. hispanorum Bertoni | Ananas sativus subsp. pyramidalis Bertoni | Bromelia ananas subsp. prolifera F.Cuvier | Bromelia ananas var. king-pineapple Aiton | Ananas bracteatus subsp. hondurensis Bertoni | Ananas bracteatus var. paraguayensis Bertoni | Ananas sativus subsp. viridis (Mill.) Bertoni | Ananas bracteatus subsp. paraguayensis Bertoni | Ananas comosus subsp. variegatus (Lowe) Moldenke,Ananassa sativa Lindl. | Bromelia rubra hort. ex Schult.f. | Ananas sativus var. variegatus Lowe
Angraecum eburneum Bory,EXACT,100,Angraecum eburneum Bory,Angraecum eburneum,2833834,2833834,ACCEPTED,0,Angraecum eburneum,Angraecum eburneum,Angraecum eburneum Bory,Angraecum eburneum Bory | Angorchis eburnea (Bory) Kuntze | Angorkis eburnangis Thouars | Angorkis eburnea (Bory) Kuntze | Limodorum eburneum (Bory) Willd.,5,Angraecum eburneum Bory | Limodorum eburneum (Bory) Willd.,2,Angraecum eburneum Bory,1,,,0,Angraecum eburneum Bory,Angraecum eburneum,wfo-0000976619,Angraecum eburneum Bory,Angraecum eburneum Bory,Limodorum eburneum (Bory) Willd. | Angorchis eburnea (Bory) Kuntze | Angorkis eburnangis Thouars,3,"{""mode"": ""rest+variants"", ""chosen_query"": ""Angraecum eburneum"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000976619"", ""full_name_plain"": ""Angraecum eburneum Bory"", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 3}}",Angraecum eburneum Bory | Angorkis eburnea (Bory) Kuntze,
Anthurium digitatum (Jacq.) G.Don f.,EXACT,85,Anthurium digitatum (Jacq.) Schott,Anthurium digitatum,2872987,2872987,ACCEPTED,0,Anthurium digitatum,Anthurium digitatum,Anthurium digitatum (Jacq.) Schott,"Anthurium digitatum (Jacq.) Schott | Anthurium digitatum (Jacq.) G.Don, 1839 | Anthurium digitatum var. connatum Engl. | Anthurium pentaphyllum var. digitatum (Jacq.) Madison | Pothos digitatus Jacq.",5,"Anthurium digitatum (Jacq.) Schott | Anthurium digitatum (Jacq.) G.Don, 1839 | Anthurium digitatum var. connatum Engl.",3,"Anthurium digitatum (Jacq.) Schott | Anthurium digitatum (Jacq.) G.Don, 1839 | Anthurium digitatum var. connatum Engl. | Anthurium pentaphyllum var. digitatum (Jacq.) Madison",4,,,0,Anthurium digitatum (Jacq.) Schott,Anthurium digitatum,wfo-0000224360,Anthurium digitatum (Jacq.) Schott,Anthurium digitatum (Jacq.) Schott,Anthurium pentaphyllum var. digitatum (Jacq.) Madison | Pothos digitata Jacq. | Anthurium digitatum var. connatum Engl.,3,"{""mode"": ""rest+variants"", ""chosen_query"": ""Anthurium digitatum"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000224360"", ""full_name_plain"": ""Anthurium digitatum (Jacq.) Schott"", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 3}}","Pothos digitatus Jacq. | Anthurium digitatum (Jacq.) Schott | Anthurium digitatum (Jacq.) G.Don, 1839",Pothos digitata Jacq.
Anthurium schlechtendalii Kunth,EXACT,100,Anthurium schlechtendalii Kunth,Anthurium schlechtendalii,2872288,2872288,ACCEPTED,0,Anthurium schlechtendalii,Anthurium schlechtendalii,Anthurium schlechtendalii Kunth,Anthurium schlechtendalii Kunth | Pothos schlechtendalii (Kunth) M.Martens & Galeotti,2,Anthurium schlechtendalii Kunth | Pothos schlechtendalii (Kunth) M.Martens & Galeotti,2,Anthurium schlechtendalii Kunth,1,Laceleaf,Laceleaf,1,Anthurium schlechtendalii Kunth,Anthurium schlechtendalii,wfo-0000232488,Anthurium schlechtendalii Kunth,Anthurium schlechtendalii Kunth,Pothos schlechtendalii (Kunth) M.Martens & Galeotti,1,"{""mode"": ""rest+variants"", ""chosen_query"": ""Anthurium schlechtendalii"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000232488"", ""full_name_plain"": ""Anthurium schlechtendalii Kunth"", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 1}}",Anthurium schlechtendalii Kunth,
Anthurium vittariifolium Engl.,EXACT,100,Anthurium vittariifolium Engl.,Anthurium vittariifolium,2873406,2873406,ACCEPTED,0,Anthurium vittariifolium,Anthurium vittariifolium,Anthurium vittariifolium Engl.,Anthurium vittariifolium Engl.,1,Anthurium vittariifolium Engl.,1,Anthurium vittariifolium Engl.,1,,,0,Anthurium vittariifolium Engl.,Anthurium vittariifolium,wfo-0000234460,Anthurium vittariifolium Engl.,Anthurium vittariifolium Engl.,,0,"{""mode"": ""rest+variants"", ""chosen_query"": ""Anthurium vittariifolium"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000234460"", ""full_name_plain"": ""Anthurium vittariifolium Engl."", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 0}}",Anthurium vittariifolium Engl.,
Aristolochia fimbriata Cham.,EXACT,100,Aristolochia fimbriata Cham.,Aristolochia fimbriata,3589582,3589582,ACCEPTED,0,Aristolochia fimbriata,Aristolochia fimbriata,Aristolochia fimbriata Cham.,Aristolochia fimbriata Cham. | Aristolochia bomplandii Tenore | Aristolochia bonplandii Ten. | Aristolochia ciliata Hook. | Aristolochia ciliosa Benth. | Aristolochia insignis Verschaff. | Howardia fimbriata (Cham.) Klotzsch,7,Aristolochia fimbriata Cham. | Howardia fimbriata (Cham.) Klotzsch,2,Aristolochia fimbriata Cham. | Aristolochia bomplandii Tenore | Aristolochia bonplandii Ten. | Aristolochia ciliata Hook. | Aristolochia ciliosa Benth. | Aristolochia insignis Verschaff.,6,,,0,Aristolochia fimbriata Cham.,Aristolochia fimbriata,wfo-0000547788,Aristolochia fimbriata Cham.,Aristolochia fimbriata Cham.,Aristolochia bonplandii Ten. | Aristolochia ciliata Hook. | Aristolochia ciliosa Benth. | Aristolochia insignis Verschaff. | Howardia fimbriata Klotzsch,5,"{""mode"": ""rest+variants"", ""chosen_query"": ""Aristolochia fimbriata"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000547788"", ""full_name_plain"": ""Aristolochia fimbriata Cham."", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 5}}",Aristolochia fimbriata Cham. | Aristolochia bomplandii Tenore | Howardia fimbriata (Cham.) Klotzsch,Howardia fimbriata Klotzsch
Aristolochia gigantea Mart. et Zucc.,EXACT,100,Aristolochia gigantea Mart. & Zucc.,Aristolochia gigantea,3589283,3589283,ACCEPTED,0,Aristolochia gigantea,Aristolochia gigantea,Aristolochia gigantea Mart. & Zucc.,Aristolochia gigantea Mart. & Zucc. | Aristolochia mariquitensis Mutis | Howardia gigantea (Mart. & Zucc.) Klotzsch,3,Aristolochia gigantea Mart. & Zucc. | Howardia gigantea (Mart. & Zucc.) Klotzsch,2,Aristolochia gigantea Mart. & Zucc. | Aristolochia mariquitensis Mutis,2,duckflower,Brazilian Dutchman's pipe | duckflower,2,Aristolochia gigantea Mart. & Zucc.,Aristolochia gigantea,wfo-0000547827,Aristolochia gigantea Mart.,Aristolochia,Aristolochia gigantea Mart. & Zucc.,1,"{""mode"": ""rest+variants"", ""chosen_query"": ""Aristolochia gigantea"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": false, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": true}, ""wfo_id"": ""wfo-0000547827"", ""full_name_plain"": ""Aristolochia gigantea Mart."", ""attempts_count"": 2, ""parse"": {""accepted_found"": true, ""synonym_count"": 1}}",Aristolochia mariquitensis Mutis | Howardia gigantea (Mart. & Zucc.) Klotzsch,
Aristolochia grandiflora Sw.,EXACT,100,Aristolochia grandiflora Sw.,Aristolochia grandiflora,2874014,2874014,ACCEPTED,0,Aristolochia grandiflora,Aristolochia grandiflora,Aristolochia grandiflora Sw.,Aristolochia grandiflora Sw. | Aristolochia gigantea Hook. | Aristolochia gigas Lindl. | Aristolochia gigas var. sturtevantii S.Watson | Aristolochia gorgona M.A.Blanco | Aristolochia grandiflora var. hookeri Duch. | Aristolochia pichinchensis Pfeifer | Aristolochia sturtevantii (S.Watson) Mottet | Aristolochia tapilulensis Beutelsp. | Howardia foetens (Lindl.) Klotzsch | Howardia grandiflora (Sw.) Klotzsch,11,Aristolochia grandiflora Sw. | Aristolochia grandiflora var. hookeri Duch. | Howardia grandiflora (Sw.) Klotzsch,3,Aristolochia grandiflora Sw. | Aristolochia gigantea Hook. | Aristolochia gigas Lindl. | Aristolochia gigas var. sturtevantii S.Watson | Aristolochia gorgona M.A.Blanco | Aristolochia grandiflora var. hookeri Duch. | Aristolochia pichinchensis Pfeifer | Aristolochia sturtevantii (S.Watson) Mottet | Aristolochia tapilulensis Beutelsp.,9,duckflower,Pelicanflower | duck-flower | duckflower | pelican-flower,4,Aristolochia grandiflora Sw.,Aristolochia grandiflora,wfo-0000745363,Aristolochia grandiflora Arruda,Aristolochia,Aristolochia ringens Vahl,1,"{""mode"": ""rest+variants"", ""chosen_query"": ""Aristolochia grandiflora"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": false, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": true}, ""wfo_id"": ""wfo-0000745363"", ""full_name_plain"": ""Aristolochia grandiflora Arruda"", ""attempts_count"": 2, ""parse"": {""accepted_found"": true, ""synonym_count"": 1}}",Aristolochia gigas Lindl. | Aristolochia gigantea Hook. | Aristolochia grandiflora Sw. | Aristolochia gorgona M.A.Blanco | Aristolochia pichinchensis Pfeifer | Howardia foetens (Lindl.) Klotzsch | Aristolochia tapilulensis Beutelsp. | Howardia grandiflora (Sw.) Klotzsch | Aristolochia grandiflora var. hookeri Duch. | Aristolochia sturtevantii (S.Watson) Mottet | Aristolochia gigas var. sturtevantii S.Watson,Aristolochia ringens Vahl
Aristolochia labiata Willd.,EXACT,100,Aristolochia labiata Willd.,Aristolochia labiata,2874002,2874002,ACCEPTED,0,Aristolochia labiata,Aristolochia labiata,Aristolochia labiata Willd.,Aristolochia labiata Willd. | Ambuya labiosa Raf. | Aristolochia brasiliensis Mart. | Aristolochia brasiliensis var. galeata (Mart.) Hoehne | Aristolochia brasiliensis var. macrophylla Duch. | Aristolochia brasiliensis var. macrophylla Mart. | Aristolochia brasiliensis var. parviflora Duch. | Aristolochia brasiliensis var. parviflora Mart. | Aristolochia galeata Mart. & Zucc. | Aristolochia labiosa Ker Gawl. | Aristolochia labiosa KerGawl. | Aristolochia macrorrhyncha Hoehne | Aristolochia ornithocephala Hook. | Aristolochia ringens Link & Otto | Dictyanthes labiosa Raf.,15,Aristolochia labiata Willd.,1,Aristolochia labiata Willd. | Aristolochia brasiliensis Mart. | Aristolochia brasiliensis var. galeata (Mart.) Hoehne | Aristolochia brasiliensis var. macrophylla Duch. | Aristolochia brasiliensis var. macrophylla Mart. | Aristolochia brasiliensis var. parviflora Duch. | Aristolochia brasiliensis var. parviflora Mart. | Aristolochia galeata Mart. & Zucc. | Aristolochia labiosa Ker Gawl. | Aristolochia labiosa KerGawl. | Aristolochia macrorrhyncha Hoehne | Aristolochia ornithocephala Hook. | Aristolochia ringens Link & Otto,13,rooster-flower,Mottled dutchman's pipe | rooster-flower,2,Aristolochia labiata Willd.,Aristolochia labiata,wfo-0000547955,Aristolochia labiata Willd.,Aristolochia labiata Willd.,Aristolochia brasiliensis Mart. | Aristolochia brasiliensis var. galeata (Mart.) Hoehne | Aristolochia brasiliensis var. macrophylla Duch. | Aristolochia brasiliensis var. parviflora Duch. | Aristolochia galeata Mart. | Aristolochia macrorrhyncha Hoehne | Aristolochia ornithocephala Hook. | Aristolochia ringens Link & Otto,8,"{""mode"": ""rest+variants"", ""chosen_query"": ""Aristolochia labiata"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000547955"", ""full_name_plain"": ""Aristolochia labiata Willd."", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 8}}",Ambuya labiosa Raf. | Dictyanthes labiosa Raf. | Aristolochia labiata Willd. | Aristolochia labiosa KerGawl. | Aristolochia labiosa Ker Gawl. | Aristolochia galeata Mart. & Zucc. | Aristolochia brasiliensis var. parviflora Mart. | Aristolochia brasiliensis var. macrophylla Mart.,Aristolochia galeata Mart.
Aristolochia maxima L.,EXACT,85,Aristolochia maxima Jacq.,Aristolochia maxima,2873997,2873997,ACCEPTED,0,Aristolochia maxima,Aristolochia maxima,Aristolochia maxima Jacq.,Aristolochia maxima Jacq. | Aristolochia asperifolia Ule | Aristolochia asperifolia Ule ex Pilg. | Aristolochia biflora Duch. ex Klotzsch | Aristolochia biflora Willd. | Aristolochia biflora Willd. ex Duch. | Aristolochia dammeriana Mast. | Aristolochia geminiflora Kunth | Aristolochia maxima var. angustifolia Duch. | Aristolochia maxima var. geminiflora (Kunth) Duch. | Aristolochia maxima var. maxima | Aristolochia mexicana D.Dietr. | Aristolochia reticulata Holton | Aristolochia reticulata Holton ex Duch. | Aristolochia sprucei Hoehne | Aristolochia wageneriana Schltdl. | Howardia geminiflora (Kunth) Klotzsch | Howardia gollmeri Klotzsch | Howardia hoffmanni Klotzsch | Howardia maxima (Jacq.) Klotzsch,20,Aristolochia maxima Jacq. | Aristolochia maxima var. angustifolia Duch. | Aristolochia maxima var. geminiflora (Kunth) Duch. | Aristolochia maxima var. maxima | Howardia maxima (Jacq.) Klotzsch,5,Aristolochia maxima Jacq. | Aristolochia asperifolia Ule | Aristolochia asperifolia Ule ex Pilg. | Aristolochia biflora Duch. ex Klotzsch | Aristolochia biflora Willd. | Aristolochia biflora Willd. ex Duch. | Aristolochia dammeriana Mast. | Aristolochia geminiflora Kunth | Aristolochia maxima var. angustifolia Duch. | Aristolochia maxima var. geminiflora (Kunth) Duch. | Aristolochia maxima var. maxima | Aristolochia mexicana D.Dietr. | Aristolochia reticulata Holton | Aristolochia reticulata Holton ex Duch. | Aristolochia sprucei Hoehne | Aristolochia wageneriana Schltdl.,16,Florida Dutchman's Pipe,Florida Dutchman's Pipe,1,Aristolochia maxima Jacq.,Aristolochia maxima,wfo-0000548053,Aristolochia maxima Jacq.,Aristolochia maxima Jacq.,Aristolochia biflora Willd. ex Duch. | Aristolochia dammeriana Mast. | Aristolochia geminiflora Kunth | Aristolochia maxima var. angustifolia Duch. | Aristolochia maxima var. geminiflora (Kunth) Duch. | Aristolochia mexicana D.Dietr. | Aristolochia oblongifolia Brandegee | Aristolochia reticulata Holton ex Duch. | Aristolochia wageneriana Schltdl. | Howardia geminiflora (Kunth) Klotzsch | Howardia golmeri Klotzsch | Howardia hoffmannii Klotzsch | Howardia maxima (Jacq.) Klotzsch | Aristolochia maxima var. maxima | Howardia gollmeri Klotzsch,15,"{""mode"": ""rest+variants"", ""chosen_query"": ""Aristolochia maxima"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": false, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": true}, ""wfo_id"": ""wfo-0000548053"", ""full_name_plain"": ""Aristolochia maxima Jacq."", ""attempts_count"": 2, ""parse"": {""accepted_found"": false, ""synonym_count"": 15}}",Aristolochia maxima Jacq. | Aristolochia biflora Willd. | Aristolochia sprucei Hoehne | Howardia hoffmanni Klotzsch | Aristolochia asperifolia Ule | Aristolochia reticulata Holton | Aristolochia asperifolia Ule ex Pilg. | Aristolochia biflora Duch. ex Klotzsch,Howardia golmeri Klotzsch | Howardia hoffmannii Klotzsch | Aristolochia oblongifolia Brandegee
